0,0
0.05,22.815826
0.1,34.292324
0.15,41.691795
0.2,47.276539
0.25,51.943273
0.3,56.12413
0.35,60.058389
0.4,63.894412
0.45,67.734109
0.5,71.654737
0.55,75.720755
0.6,79.991002
0.65,84.523665
0.7,89.380327
0.75,94.629948
0.8,100.353469
0.85,106.649919
0.9,113.645209
0.95,121.505665
1,130.459825
1.05,140.835022
1.1,153.121088
1.15,168.08529
1.2,186.986958
1.25,211.991513
1.3,246.99228
1.35,299.274213
1.4,382.882838
1.45,525.155143
1.5,777.592798
1.55,1226.457096
1.6,1979.929758
1.65,3105.52556
1.7,4589.182657
1.75,6410.967497
1.8,8681.339496
1.85,11524.478784
1.9,15121.416504
1.95,19833.366747
2,26795.523692
2.05,40064.363461
2.1,66950.843428
2.15,103339.791774
2.2,141054.369267
2.25,181684.219043
2.3,223103.572
