0.15,0.0454545455
0.2,0.0681818182
0.25,0.1022727273
0.3,0.1363636364
0.35,0.1704545455
0.4,0.2045454545
0.45,0.25
0.5,0.2954545455
0.55,0.3409090909
0.6,0.4090909091
0.65,0.4545454545
0.7,0.5113636364
0.75,0.5795454545
0.8,0.6477272727
0.85,0.7272727273
0.9,0.7954545455
0.95,0.8863636364
1,0.9659090909
1.05,1.0568181818
1.1,1.1590909091
1.15,1.275
1.2,1.3977272727
1.25,1.5454545455
1.3,1.7159090909
1.35,1.9090909091
1.4,2.125
1.45,2.3181818182
1.5,2.5
1.55,2.6704545455
1.6,2.8522727273
1.65,3.0340909091
1.7,3.2045454545
1.731,3.3977272727
1.754,3.4659090909
