67.79,5.26,,68.22,11.4,,68,16.66
100,9.64,,100,17.54,,100,27.19
127.54,24.56,,126.27,41.22,,125,52.63
150,42.1,,150,72.8,,138.15,77.19
175.43,68.42,,176.27,121.05,,150,100
200,98.24,,200,170.17,,174.57,193.85
226.69,143.85,,226.69,244.73,,206.77,335.08
250,182.45,,300,468.42,,261.86,600
276.75,250,,0,0,,0,0
300,294.73,,0,0,,0,0
