1000,7.016248,,1000,8.144112
2000,8.5206249106,,2000,9.8927416537
3000,9.5460278205,,3000,11.0848587698
4000,10.3475602442,,4000,12.0168211619
5000,11.015340221,,5000,12.793336035
6000,11.5928231791,,6000,13.4648988223
7000,12.1046346433,,7000,14.0601266874
8000,12.5662148175,,8000,14.5969637025
9000,12.9879455728,,9000,15.0874759515
10000,13.3771757051,,10000,15.5402047864
15000,14.9870335544,,15000,17.412865042
20000,16.2454201372,,20000,18.8768562118
30000,18.2004529258,,30000,21.1515970447
40000,19.7286543328,,40000,22.9299230827
50000,21.0018433766,,50000,24.411631604
60000,22.1028721597,,60000,25.6930755773
70000,23.0786916981,,70000,26.8288609053
80000,23.9587402785,,80000,27.8532276074
90000,24.7628119723,,90000,28.7891996078
100000,25.504917991,,100000,29.6530751054
150000,28.5742723396,,150000,33.22639579
200000,30.9735117086,,200000,36.0199136818
250000,32.972387815,,250000,38.3474842036
300000,34.7009764622,,300000,40.3604652826
400000,37.6146446697,,400000,43.7537819276
500000,40.042106405,,500000,46.5811072214
600000,42.1413274542,,600000,49.0262972886
700000,44.0018246062,,700000,51.193548499
0,0,,800000,53.1481960196
0,0,,900000,54.9341730003
0,0,,1000000,56.5825788845
